n_seed,n_tree,idx_test,beta_ATE_coef,beta_ATE_p,beta_ITE_coef,beta_ITE_p,recov_coef,recov_p,duration
1,5000,8,1.256874597,1.01E-07,2.840872814,1.35E-08,0.80281841,2.27E-226,71.19
1,5000,9,1.473638608,7.16E-08,2.797252388,1.03E-08,0.804663773,3.46E-228,104.42
1,5000,10,1.353046924,5.74E-07,3.073804909,2.16E-10,0.805372246,6.86E-229,80.75
1,5000,11,1.329181594,1.88E-07,2.826345992,2.83E-09,0.787295244,8.18E-212,79.48
1,5000,12,1.284979472,7.77E-09,2.998197856,1.37E-09,0.804731207,2.96E-228,69.13
1,5000,13,1.258752047,9.24E-08,2.928604111,1.13E-08,0.789381995,1.07E-213,75.39
1,5000,14,1.250941898,1.87E-07,3.159416574,2.31E-08,0.807113014,1.25E-230,70.79
1,5000,15,1.393579916,1.18E-08,2.560021292,4.09E-10,0.798270483,5.66E-222,90.91
1,5000,16,1.304035921,1.43E-07,2.804432801,4.35E-08,0.796563843,2.36E-220,77.66
1,5000,17,1.310222709,3.88E-08,3.216741849,9.89E-10,0.786400982,5.17E-211,63.04
1,5000,18,1.338944889,5.49E-09,2.943619829,1.09E-08,0.796290836,4.28E-220,61.96
1,5000,19,1.211187339,2.18E-07,3.395373905,6.46E-09,0.772480422,5.11E-199,54.33
1,5000,20,1.200005139,8.95E-08,3.067049918,9.49E-09,0.779267893,9.32E-205,55.62
1,5000,21,1.379480709,1.51E-07,2.915236458,1.98E-08,0.794068614,5.19E-218,75.86
1,5000,22,1.31778146,3.71E-08,3.245249673,1.30E-09,0.804314305,7.66E-228,71.42
1,5000,23,1.219433846,1.18E-07,3.194357111,5.58E-09,0.779440403,6.62E-205,64.89
1,5000,24,1.316132315,9.98E-09,3.144801994,4.95E-11,0.805738918,2.96E-229,86.72
1,5000,25,1.241231435,2.33E-07,3.222428658,9.33E-09,0.812960554,1.33E-236,59.58
1,5000,26,1.337892833,1.24E-07,2.869390391,9.51E-09,0.796666554,1.89E-220,74.98
1,5000,27,1.214019343,1.41E-07,3.552147623,2.16E-10,0.792834062,7.28E-217,52.6
1,5000,28,1.252383016,3.36E-08,3.223664094,2.51E-10,0.792237606,2.59E-216,59.34
1,5000,29,1.230590609,6.96E-08,2.807124582,5.72E-08,0.787899788,2.34E-212,65.94
1,5000,30,1.242740577,5.07E-07,2.830574098,6.64E-10,0.810816967,2.17E-234,73.97
1,5000,31,1.35180562,2.79E-07,2.95541261,2.81E-09,0.793569945,1.51E-217,81.9
1,5000,32,1.331109096,1.93E-07,2.793864178,9.45E-09,0.795229281,4.27E-219,75.71
1,5000,33,1.401680189,6.47E-08,2.653484669,4.72E-09,0.79005314,2.61E-214,80.26
1,5000,34,1.322053197,1.46E-07,3.305159232,4.75E-11,0.788224722,1.19E-212,67.74
1,5000,35,1.227880143,6.01E-08,3.286014018,5.22E-11,0.764410759,1.89E-192,57.87
1,5000,36,1.294364268,2.57E-08,2.987720751,1.06E-08,0.812148212,9.22E-236,63.35
1,5000,37,1.33590008,3.75E-08,2.709933463,4.57E-08,0.819231992,3.00E-243,71.93
1,5000,38,1.274006235,9.71E-08,3.078161509,5.26E-08,0.794553168,1.83E-218,69.07
1,5000,39,1.363421204,2.24E-07,2.846556257,2.53E-09,0.809803068,2.37E-233,90.14
1,5000,40,1.280005759,4.84E-08,2.885707362,2.46E-09,0.776778271,1.25E-202,65.4
1,5000,41,1.290071133,5.24E-08,3.039243866,3.75E-10,0.804940942,1.84E-228,84.35
1,5000,42,1.278733865,1.03E-07,3.426283325,5.66E-11,0.78990387,3.57E-214,71.67
1,5000,43,1.304302151,1.08E-07,3.086080295,1.93E-08,0.808136996,1.16E-231,68.34
1,5000,44,1.222787522,3.97E-08,2.972909675,5.55E-08,0.787398489,6.61E-212,62.88
1,5000,45,1.329154018,3.12E-08,3.095219572,6.12E-09,0.809066394,1.33E-232,68.5
1,5000,46,1.343570485,6.96E-08,2.952299948,1.38E-09,0.820224597,2.52E-244,87.78
1,5000,47,1.233982783,1.35E-08,3.222323037,5.97E-09,0.755494951,1.72E-185,57.03
1,5000,48,1.309563282,8.46E-08,2.631985985,1.07E-07,0.817463196,2.38E-241,91.37
1,5000,49,1.328976278,8.16E-09,2.91950007,2.57E-10,0.808443403,5.70E-232,79.55
1,5000,50,1.284220411,1.27E-07,3.07922803,1.55E-09,0.812085136,1.07E-235,83.55
1,10000,1,1.302539625,8.25E-08,3.114587693,2.59E-08,0.804677755,3.35E-228,123.26
1,10000,2,1.274847715,3.97E-09,3.037228636,1.85E-10,0.794336213,2.92E-218,92.24
1,10000,3,1.306323866,4.08E-08,3.138499406,4.59E-10,0.805387538,6.62E-229,122.17
1,10000,4,1.316986891,1.14E-07,2.848815944,3.67E-08,0.824520943,4.65E-249,122.44
1,10000,5,1.416910395,1.56E-07,2.878979589,1.75E-08,0.796379709,3.53E-220,140.04
1,10000,6,1.367456011,2.02E-06,2.843130594,3.81E-08,0.815409559,3.61E-239,148.36
1,10000,7,1.29834587,3.24E-08,3.205865985,6.74E-09,0.785262077,5.35E-210,103.47
1,10000,8,1.230753026,2.19E-08,2.922796698,1.86E-08,0.79640943,3.31E-220,118.31
1,10000,9,1.526557077,2.11E-08,2.781560865,8.78E-09,0.804693718,3.23E-228,170.41
1,10000,10,1.31951899,2.21E-07,3.001412835,8.80E-11,0.803530899,4.53E-227,133.86
