n_seed,n_tree,idx_test,beta_ATE_coef,beta_ATE_p,beta_ITE_coef,beta_ITE_p,recov_coef,recov_p,duration
1,5000,24,1.023401991,4.77E-64,2.084482943,7.61E-11,0.57671037,1.03E-89,76.25
1,5000,25,1.024723734,5.26E-61,2.309674007,2.67E-14,0.573774065,1.28E-88,60.88
1,5000,26,1.020646697,2.59E-56,1.885324721,5.12E-07,0.565468154,1.41E-85,77.04
1,5000,27,1.017774564,1.19E-59,2.176811495,9.47E-14,0.56333871,8.23E-85,62.33
1,5000,28,1.022871851,6.35E-62,2.038347601,2.24E-11,0.53433243,6.56E-75,66.74
1,5000,29,1.021563316,1.93E-57,1.794319318,1.09E-09,0.576543752,1.18E-89,69.87
1,5000,30,1.016551363,5.59E-61,2.076961682,3.98E-12,0.590661282,4.43E-95,85.39
1,5000,31,1.023453164,1.66E-58,2.173428913,8.96E-10,0.574255823,8.47E-89,92.1
1,5000,32,1.020932183,8.44E-58,1.988714518,2.57E-08,0.575917849,2.03E-89,79.83
1,5000,33,1.034483647,2.43E-54,1.781381186,1.23E-06,0.60468813,9.61E-101,82.5
1,5000,34,1.023642318,2.29E-56,2.300078556,1.02E-11,0.557035601,1.41E-82,69.45
1,5000,35,1.020095727,3.37E-65,1.997267911,1.34E-18,0.49710577,1.56E-63,61.5
1,5000,36,1.028985183,7.56E-66,1.992524227,1.13E-10,0.607228309,8.45E-102,80.1
1,5000,37,1.026177771,1.06E-58,1.930925781,5.48E-08,0.590987472,3.30E-95,75.07
1,5000,38,1.025853503,9.86E-59,2.143377466,1.32E-10,0.54676299,4.92E-79,73.91
1,5000,39,1.023573695,4.08E-55,1.828332008,3.39E-11,0.492288719,3.66E-62,63.31
1,5000,40,1.024392788,6.67E-62,1.993120578,1.98E-09,0.512451735,4.71E-68,61.43
1,5000,41,1.022132802,2.93E-63,2.087042913,4.69E-15,0.560430855,8.96E-84,78.03
1,5000,42,1.016593805,9.17E-64,2.365270043,9.67E-13,0.53125555,6.48E-74,65.03
1,5000,43,1.020353524,8.87E-62,2.135858315,6.42E-13,0.577874934,3.74E-90,69.9
1,5000,44,1.026713294,2.45E-59,1.940656341,4.58E-11,0.526829341,1.68E-72,69.04
1,5000,45,1.019959504,6.03E-61,2.035653712,3.54E-11,0.550113916,3.55E-80,67.25
1,5000,46,1.015464041,1.58E-65,2.109208638,5.00E-11,0.560142844,1.13E-83,57
1,5000,47,1.022079006,6.44E-59,2.194849777,2.42E-11,0.490195399,1.42E-61,52.26
1,5000,48,1.022086161,4.84E-66,2.03084751,1.58E-14,0.590012065,7.98E-95,89.19
1,5000,49,1.019162998,1.00E-62,2.026950205,5.01E-10,0.51891773,5.00E-70,64.92
1,5000,50,1.022054938,1.41E-59,2.112553176,1.48E-12,0.595269493,6.56E-97,80.55
1,10000,1,1.025256426,1.57E-57,1.988926433,5.54E-09,0.561397529,4.06E-84,126.73
1,10000,2,1.023984383,6.43E-66,1.994887472,2.19E-11,0.55244942,5.58E-81,90.14
1,10000,3,1.018031192,3.55E-63,2.206404144,1.07E-11,0.503923395,1.63E-65,78.61
1,10000,4,1.019091952,6.40E-67,2.091337691,1.94E-10,0.604252178,1.46E-100,132.74
1,10000,5,1.027719689,2.78E-54,1.984228969,1.65E-07,0.581451306,1.65E-91,144.54
1,10000,6,1.024926154,3.52E-63,2.15766537,4.99E-11,0.623338821,1.00E-108,163.46
1,10000,7,1.022144515,4.46E-57,2.036999874,2.95E-07,0.5335956,1.14E-74,101.95
1,10000,8,1.019605009,1.14E-60,2.011662352,5.30E-12,0.402757465,2.74E-40,57.41
1,10000,9,1.023459365,2.96E-56,2.214873566,1.51E-12,0.531801132,4.33E-74,101.84
1,10000,10,1.013358318,3.13E-62,2.453827408,6.72E-13,0.565737097,1.13E-85,101.84
1,10000,11,1.021064276,5.61E-58,1.959481417,1.18E-08,0.532539065,2.50E-74,92.85
1,10000,12,1.026906797,1.81E-61,2.037870079,1.99E-09,0.564967167,2.14E-85,100.73
1,10000,13,1.020231622,1.34E-61,2.017183643,3.49E-12,0.563205581,9.18E-85,112.22
1,10000,14,1.022802802,5.59E-60,2.084609785,1.10E-12,0.56610873,8.27E-86,98.41
1,10000,15,1.022223146,7.59E-62,1.980125593,1.61E-09,0.612684095,4.23E-104,154.04
1,10000,16,1.025978324,2.08E-59,1.961442553,4.61E-10,0.546194582,7.67E-79,104.1
1,10000,17,1.024388558,7.77E-61,2.207874607,1.57E-11,0.554063915,1.54E-81,97.97
1,10000,18,1.01610768,5.57E-61,1.954017792,1.29E-10,0.481665837,3.26E-59,76.93
1,10000,19,1.020402964,2.25E-57,2.215442681,5.03E-10,0.516738721,2.34E-69,91.96
1,10000,20,1.019627442,2.91E-62,2.134399566,3.01E-13,0.558884387,3.16E-83,81.12
1,10000,21,1.024693721,1.83E-55,2.080832094,1.57E-09,0.572946336,2.60E-88,133.89
1,10000,22,1.015899318,4.48E-68,2.107362863,3.06E-11,0.617937062,2.33E-106,107
1,10000,23,1.024901645,3.12E-62,2.096181062,1.62E-11,0.511668166,8.12E-68,90.6
1,10000,24,1.019647698,1.23E-61,2.030933163,9.61E-11,0.615677437,2.21E-105,144.46
1,10000,25,1.017708131,4.08E-64,2.212702505,2.88E-13,0.568161801,1.49E-86,96.38
1,10000,26,1.021428534,8.81E-58,2.042901614,1.84E-11,0.566418754,6.39E-86,120.51
1,10000,27,1.018521108,5.97E-61,2.236140474,9.03E-14,0.56069986,7.19E-84,100.21
1,10000,28,1.020817794,1.20E-63,1.994588412,4.47E-10,0.553072781,3.40E-81,101.45
1,10000,29,1.028557393,5.15E-58,1.976156445,5.53E-11,0.565187167,1.78E-85,117.27
1,10000,30,1.019773699,3.89E-65,2.093022355,2.12E-12,0.608272914,3.09E-102,137.43
1,10000,31,1.024706259,4.09E-57,2.068950883,7.11E-09,0.571339889,1.02E-87,146.36
1,10000,32,1.022607308,1.09E-56,1.947608036,2.10E-08,0.57486889,5.01E-89,135.43
1,10000,33,1.031829618,1.32E-56,1.788023898,2.29E-06,0.612405803,5.55E-104,137.21
1,10000,34,1.024867111,3.96E-59,2.168218588,4.01E-11,0.548145696,1.67E-79,109.39
1,10000,35,1.021420783,2.38E-60,2.126190144,8.83E-15,0.537270577,7.21E-76,109.44
